image_id,clear_image_path,hazy_image_paths,trans_image_paths
1,clear/1.png,"['hazy/1_1_0.90179.png', 'hazy/1_2_0.97842.png', 'hazy/1_3_0.84256.png', 'hazy/1_4_0.92941.png', 'hazy/1_5_0.98345.png', 'hazy/1_6_0.9039.png', 'hazy/1_7_0.81551.png', 'hazy/1_8_0.74588.png', 'hazy/1_9_0.83139.png', 'hazy/1_10_0.98796.png']","['trans/1_1.png', 'trans/1_2.png', 'trans/1_3.png', 'trans/1_4.png', 'trans/1_5.png', 'trans/1_6.png', 'trans/1_7.png', 'trans/1_8.png', 'trans/1_9.png', 'trans/1_10.png']"
2,clear/2.png,"['hazy/2_1_0.99082.png', 'hazy/2_2_0.76381.png', 'hazy/2_3_0.71438.png', 'hazy/2_4_0.70173.png', 'hazy/2_5_0.7745.png', 'hazy/2_6_0.94385.png', 'hazy/2_7_0.99118.png', 'hazy/2_8_0.78092.png', 'hazy/2_9_0.85023.png', 'hazy/2_10_0.8305.png']","['trans/2_1.png', 'trans/2_2.png', 'trans/2_3.png', 'trans/2_4.png', 'trans/2_5.png', 'trans/2_6.png', 'trans/2_7.png', 'trans/2_8.png', 'trans/2_9.png', 'trans/2_10.png']"
3,clear/3.png,"['hazy/3_1_0.88255.png', 'hazy/3_2_0.9726.png', 'hazy/3_3_0.82855.png', 'hazy/3_4_0.8616.png', 'hazy/3_5_0.91692.png', 'hazy/3_6_0.90077.png', 'hazy/3_7_0.77907.png', 'hazy/3_8_0.89994.png', 'hazy/3_9_0.81761.png', 'hazy/3_10_0.78198.png']","['trans/3_1.png', 'trans/3_2.png', 'trans/3_3.png', 'trans/3_4.png', 'trans/3_5.png', 'trans/3_6.png', 'trans/3_7.png', 'trans/3_8.png', 'trans/3_9.png', 'trans/3_10.png']"
4,clear/4.png,"['hazy/4_1_0.7483.png', 'hazy/4_2_0.92872.png', 'hazy/4_3_0.71865.png', 'hazy/4_4_0.93685.png', 'hazy/4_5_0.81031.png', 'hazy/4_6_0.94015.png', 'hazy/4_7_0.81529.png', 'hazy/4_8_0.79904.png', 'hazy/4_9_0.9803.png', 'hazy/4_10_0.98695.png']","['trans/4_1.png', 'trans/4_2.png', 'trans/4_3.png', 'trans/4_4.png', 'trans/4_5.png', 'trans/4_6.png', 'trans/4_7.png', 'trans/4_8.png', 'trans/4_9.png', 'trans/4_10.png']"
5,clear/5.png,"['hazy/5_1_0.85143.png', 'hazy/5_2_0.92675.png', 'hazy/5_3_0.72334.png', 'hazy/5_4_0.93873.png', 'hazy/5_5_0.72088.png', 'hazy/5_6_0.75299.png', 'hazy/5_7_0.83226.png', 'hazy/5_8_0.94597.png', 'hazy/5_9_0.83853.png', 'hazy/5_10_0.92851.png']","['trans/5_1.png', 'trans/5_2.png', 'trans/5_3.png', 'trans/5_4.png', 'trans/5_5.png', 'trans/5_6.png', 'trans/5_7.png', 'trans/5_8.png', 'trans/5_9.png', 'trans/5_10.png']"
6,clear/6.png,"['hazy/6_1_0.76384.png', 'hazy/6_2_0.7352.png', 'hazy/6_3_0.92861.png', 'hazy/6_4_0.85459.png', 'hazy/6_5_0.70108.png', 'hazy/6_6_0.9404.png', 'hazy/6_7_0.70998.png', 'hazy/6_8_0.86944.png', 'hazy/6_9_0.99756.png', 'hazy/6_10_0.92548.png']","['trans/6_1.png', 'trans/6_2.png', 'trans/6_3.png', 'trans/6_4.png', 'trans/6_5.png', 'trans/6_6.png', 'trans/6_7.png', 'trans/6_8.png', 'trans/6_9.png', 'trans/6_10.png']"
7,clear/7.png,"['hazy/7_1_0.85438.png', 'hazy/7_2_0.9272.png', 'hazy/7_3_0.84506.png', 'hazy/7_4_0.70396.png', 'hazy/7_5_0.81931.png', 'hazy/7_6_0.76136.png', 'hazy/7_7_0.91282.png', 'hazy/7_8_0.96123.png', 'hazy/7_9_0.71.png', 'hazy/7_10_0.97204.png']","['trans/7_1.png', 'trans/7_2.png', 'trans/7_3.png', 'trans/7_4.png', 'trans/7_5.png', 'trans/7_6.png', 'trans/7_7.png', 'trans/7_8.png', 'trans/7_9.png', 'trans/7_10.png']"
8,clear/8.png,"['hazy/8_1_0.88223.png', 'hazy/8_2_0.81738.png', 'hazy/8_3_0.9967.png', 'hazy/8_4_0.73498.png', 'hazy/8_5_0.8902.png', 'hazy/8_6_0.82969.png', 'hazy/8_7_0.96672.png', 'hazy/8_8_0.84884.png', 'hazy/8_9_0.80201.png', 'hazy/8_10_0.7446.png']","['trans/8_1.png', 'trans/8_2.png', 'trans/8_3.png', 'trans/8_4.png', 'trans/8_5.png', 'trans/8_6.png', 'trans/8_7.png', 'trans/8_8.png', 'trans/8_9.png', 'trans/8_10.png']"
9,clear/9.png,"['hazy/9_1_0.96701.png', 'hazy/9_2_0.75617.png', 'hazy/9_3_0.7931.png', 'hazy/9_4_0.91803.png', 'hazy/9_5_0.92126.png', 'hazy/9_6_0.97131.png', 'hazy/9_7_0.79499.png', 'hazy/9_8_0.74127.png', 'hazy/9_9_0.86175.png', 'hazy/9_10_0.80133.png']","['trans/9_1.png', 'trans/9_2.png', 'trans/9_3.png', 'trans/9_4.png', 'trans/9_5.png', 'trans/9_6.png', 'trans/9_7.png', 'trans/9_8.png', 'trans/9_9.png', 'trans/9_10.png']"
10,clear/10.png,"['hazy/10_1_0.85062.png', 'hazy/10_2_0.70545.png', 'hazy/10_3_0.91647.png', 'hazy/10_4_0.98406.png', 'hazy/10_5_0.7404.png', 'hazy/10_6_0.97995.png', 'hazy/10_7_0.73538.png', 'hazy/10_8_0.94956.png', 'hazy/10_9_0.95031.png', 'hazy/10_10_0.88317.png']","['trans/10_1.png', 'trans/10_2.png', 'trans/10_3.png', 'trans/10_4.png', 'trans/10_5.png', 'trans/10_6.png', 'trans/10_7.png', 'trans/10_8.png', 'trans/10_9.png', 'trans/10_10.png']"
